;stops;busstops
Abgeordnetenhaus (Berlin);2;2.0
Achardstr. (Berlin);2;2.0
Adalbertstr. (Berlin);2;2.0
Adersleber Weg (Berlin);2;2.0
Adlergestell/Glienicker Weg (Berlin);2;2.0
Adlergestell/Vetschauer Allee (Berlin);1;1.0
Adolf-Scheidt-Platz (Berlin);2;2.0
Adolfstr. (Berlin);2;2.0
Agathe-Lasch-Platz (Berlin);3;3.0
Ahlener Weg (Berlin);2;2.0
Ahrensdorfer Str. (Berlin);2;2.0
Ahrensfelde, Bahnhof Friedhof;2;2.0
Ahrensfelde, Fasanenstr.;2;
Ahrensfelde, Feldstr.;1;1.0
Ahrensfelde, Kirche;2;2.0
Ahrensfelde, Kirschenallee;2;
Ahrensfelde, Mehrower Str.;1;
Albert-Einstein-Str. (Berlin);2;2.0
Albertstr. (Berlin);2;2.0
Alboinplatz (Berlin);2;2.0
Alboinstr./Arnulfstr. (Berlin);2;2.0
Albrechtstr./Manteuffelstr. (Berlin);2;2.0
Alemannenstr. (Berlin);2;2.0
Alemannenstr./Maximiliankorso (Berlin);2;2.0
Alexander-Meißner-Str. (Berlin) ;2;2.0
Alexanderstr. (Berlin);2;2.0
Alexandrinenstr. (Berlin);2;2.0
Alfons-Loewe-Str. (Berlin);1;1.0
Alfred-Kowalke-Str. (Berlin);2;2.0
Alice-Herz-Platz (Berlin);1;1.0
Allee der Kosmonauten/Poelchaustr. (Berlin);2;2.0
Alliiertenmuseum (Berlin);2;2.0
Almutstr. (Berlin);2;2.0
Alsterweg (Berlin);2;2.0
Alt-Biesdorf (Berlin);2;2.0
Alt-Buch (Berlin);2;2.0
Alt-Buch/Wiltbergstr. (Berlin);3;3.0
Alt-Buckow (Berlin);4;4.0
Alt-Buckow/Dorfteich (Berlin);1;1.0
Alt-Friedrichsfelde 60 (Berlin);2;3.0
Alt-Friedrichsfelde/Gensinger Str. (Berlin);3;3.0
Alt-Gatow (Berlin);4;6.0
Alt-Hohenschönhausen (Berlin);2;2.0
Alt-Karow (Berlin);2;2.0
Alt-Karow/Bahnhofstr. (Berlin);1;1.0
Alt-Karow/Straße 74 (Berlin);2;2.0
Alt-Kaulsdorf/Chemnitzer Str. (Berlin);2;2.0
Alt-Kladow (Berlin);6;6.0
Alt-Lübars (Berlin);2;2.0
Alt-Marzahn (Berlin);2;2.0
Alt-Moabit/Gotzkowskystr. (Berlin);4;4.0
Alt-Moabit/Rathaus Tiergarten (Berlin);4;5.0
Alt-Moabit/Rathenower Str. (Berlin);3;3.0
Alt-Rudow/Köpenicker Str. (Berlin);2;2.0
Alt-Schönow (Berlin);2;2.0
Alt-Staaken Kirche (Berlin);2;2.0
Alt-Stralau (Berlin);2;2.0
Alt-Treptow (Berlin);1;1.0
Alt-Wittenau/Roedernallee (Berlin);2;2.0
Alte Allee (Berlin);2;2.0
Alte Erpe (Berlin);2;2.0
Alte Hellersdorfer/Zossener Str. (Berlin);2;2.0
Altenburger Allee (Berlin);1;1.0
Altensteinstr./Fabeckstr. (Berlin);2;2.0
Altentreptower Str. (Berlin);2;2.0
Alter Bernauer Heerweg (Berlin);2;
Alter Schönefelder Weg (Berlin);1;1.0
Altes Wasserwerk (Berlin);2;2.0
Altglienicke Kirche (Berlin);3;3.0
Altglienicker Brücke (Berlin);2;2.0
Altkanzlerstr. (Berlin);2;2.0
Altmarkstr. (Berlin);2;2.0
Am Baltenring (Berlin);1;1.0
Am Berg (Berlin);2;2.0
Am Birkenhügel (Berlin);2;2.0
Am Birkenknick (Berlin);2;2.0
Am Bogen (Berlin);2;2.0
Am Brandpfuhl (Berlin);2;2.0
Am Dachsbau (Berlin);2;2.0
Am Dianaplatz (Berlin);2;2.0
Am Fischtal (Berlin);2;2.0
Am Friedrichshain/Hufelandstr. (Berlin);2;2.0
Am Gehrensee (Berlin);2;2.0
Am Gemeindepark (Berlin);3;3.0
Am Graben (Berlin);2;2.0
Am Großen Rohrpfuhl (Berlin);1;1.0
Am Großen Wannsee (Berlin);1;1.0
Am Hanffgraben (Berlin);3;7.0
Am Hegewinkel (Berlin);2;2.0
Am Heidefriedhof (Berlin);3;3.0
Am Hellespont (Berlin);1;1.0
Am Hügel (Berlin);2;2.0
Am Kesselpfuhl (Berlin);2;2.0
Am Kiesberg (Berlin);1;1.0
Am Kleinen Wannsee (Berlin);2;2.0
Am Klötzgraben (Berlin);2;
Am Kornfeld (Berlin);2;2.0
Am Kurzen Weg (Berlin);2;2.0
Am Luchgraben (Berlin);2;2.0
Am Nordhafen (Berlin);2;2.0
Am Oberhafen (Berlin);2;2.0
Am Pilz (Berlin);2;2.0
Am Postfenn (Berlin);2;2.0
Am Rehwechsel (Berlin);2;2.0
Am Rohrgarten (Berlin);2;2.0
Am Rollberg (Berlin);2;2.0
Am Rosenhag (Berlin);2;2.0
Am Rudower Waldrand (Berlin);2;2.0
Am Rötepfuhl (Berlin);2;2.0
Am Sandwerder (Berlin);2;2.0
Am Steinberg (Berlin);2;2.0
Am Studio/Köpenicker Str. (Berlin);2;2.0
Am Tegeler Fließ (Berlin);2;2.0
Am Theodorpark (Berlin);2;2.0
Am Wasserturm (Berlin);3;3.0
Am Wiesengrund (Berlin);2;2.0
Am Wäldchen (Berlin);2;2.0
Am Zeppelinpark (Berlin);2;2.0
Am alten Gaswerk (Berlin);2;2.0
Amalienstr. (Berlin);2;2.0
Amandastr. (Berlin);1;1.0
Amendestr. (Berlin);1;1.0
Amfortasweg (Berlin);2;2.0
Amorbacher Weg (Berlin);2;2.0
An den Achterhöfen (Berlin);2;2.0
An den Siedlergärten (Berlin);1;1.0
An der Buche (Berlin);2;2.0
An der Rehwiese (Berlin);2;2.0
An der Schneise (Berlin);2;2.0
An der Urania (Berlin);6;6.0
An der Wuhle (Berlin);2;2.0
