route_id,agency_id,route_short_name,route_type
23930_700,796,363,700
23929_700,796,161,700
23984_700,796,334R,700
23416_700,796,N43,700
23415_700,796,M43,700
23414_700,796,143,700
23154_700,796,X37,700
22755_700,796,N96,700
22754_700,796,M36,700
22674_700,796,N64,700
22609_700,796,744,700
22390_700,796,X71,700
22389_700,796,N7X,700
21681_700,796,N77,700
21680_700,796,N12,700
21284_700,796,300,700
20359_700,796,N18,700
19019_700,796,365,700
18374_700,796,169,700
17619_700,796,310,700
17538_700,796,X83,700
17537_700,796,X76,700
17536_700,796,X69,700
17535_700,796,X54,700
17534_700,796,X49,700
17533_700,796,X34,700
17532_700,796,X33,700
17531_700,796,X21,700
17530_700,796,X11,700
17529_700,796,X10,700
17527_700,796,X7,700
17510_700,796,N97,700
17509_700,796,N95,700
17508_700,796,N94,700
17507_700,796,N91,700
17506_700,796,N90,700
17505_700,796,N88,700
17504_700,796,N84,700
17503_700,796,N81,700
17501_700,796,N70,700
17500_700,796,N69,700
17499_700,796,N68,700
17497_700,796,N65,700
17496_700,796,N62,700
17495_700,796,N61,700
17494_700,796,N60,700
17493_700,796,N58,700
17492_700,796,N56,700
17491_700,796,N53,700
17490_700,796,N52,700
17489_700,796,N50,700
17488_700,796,N42,700
17487_700,796,N40,700
17486_700,796,N39,700
17485_700,796,N35,700
17484_700,796,N34,700
17483_700,796,N33,700
17482_700,796,N30,700
17481_700,796,N26,700
17480_700,796,N25,700
17479_700,796,N24,700
17478_700,796,N23,700
17477_700,796,N22,700
17476_700,796,N20,700
17474_700,796,N10,700
17473_700,796,N9,700
17472_700,796,N8,700
17471_700,796,N7,700
17470_700,796,N6,700
17469_700,796,N5,700
17468_700,796,N3,700
17467_700,796,N2,700
17466_700,796,N1,700
17465_700,796,M85,700
17464_700,796,M82,700
17462_700,796,M77,700
17461_700,796,M76,700
17458_700,796,M49,700
17457_700,796,M48,700
17456_700,796,M46,700
17455_700,796,M45,700
17454_700,796,M44,700
17453_700,796,M41,700
17451_700,796,M37,700
17450_700,796,M32,700
17449_700,796,M29,700
17448_700,796,M27,700
17447_700,796,M21,700
17445_700,796,M19,700
17441_700,796,M11,700
17415_700,796,399,700
17414_700,796,398,700
17413_700,796,396,700
17412_700,796,395,700
17411_700,796,390,700
17410_700,796,380,700
17409_700,796,377,700
17407_700,796,372,700
17406_700,796,371,700
17403_700,796,369,700
17401_700,796,353,700
17400_700,796,350,700
17399_700,796,349,700
17398_700,796,347,700
17395_700,796,337,700
17394_700,796,334,700
17393_700,796,327,700
17392_700,796,326,700
17391_700,796,324,700
17390_700,796,322,700
17389_700,796,320,700
17388_700,796,318,700
17387_700,796,316,700
17385_700,796,309,700
17384_700,796,296,700
17383_700,796,294,700
17382_700,796,291,700
17381_700,796,285,700
17380_700,796,284,700
17379_700,796,283,700
17378_700,796,282,700
17377_700,796,277,700
17376_700,796,275,700
17375_700,796,271,700
17373_700,796,269,700
17372_700,796,265,700
17370_700,796,260,700
17369_700,796,259,700
17368_700,796,256,700
17367_700,796,255,700
17366_700,796,250,700
17365_700,796,249,700
17364_700,796,248,700
17363_700,796,247,700
17362_700,796,246,700
17361_700,796,245,700
17360_700,796,240,700
17359_700,796,237,700
17357_700,796,234,700
17356_700,796,222,700
17355_700,796,221,700
17354_700,796,220,700
17353_700,796,218,700
17351_700,796,204,700
17350_700,796,200,700
17349_700,796,197,700
17348_700,796,195,700
17347_700,796,194,700
17346_700,796,192,700
17345_700,796,191,700
17344_700,796,190,700
17343_700,796,188,700
17342_700,796,187,700
17341_700,796,186,700
17340_700,796,184,700
17339_700,796,181,700
17337_700,796,179,700
17336_700,796,175,700
17335_700,796,172,700
17334_700,796,171,700
17333_700,796,170,700
17332_700,796,168,700
17331_700,796,166,700
17330_700,796,165,700
17329_700,796,164,700
17328_700,796,163,700
17327_700,796,162,700
17326_700,796,161,700
17325_700,796,160,700
17323_700,796,158,700
17322_700,796,156,700
17321_700,796,155,700
17320_700,796,154,700
17319_700,796,150,700
17318_700,796,147,700
17317_700,796,142,700
17316_700,796,140,700
17315_700,796,139,700
17314_700,796,137,700
17313_700,796,136,700
17312_700,796,135,700
17311_700,796,134,700
17310_700,796,133,700
17309_700,796,131,700
17308_700,796,130,700
17307_700,796,128,700
17306_700,796,125,700
17305_700,796,124,700
17304_700,796,123,700
17303_700,796,122,700
17302_700,796,120,700
17300_700,796,118,700
17299_700,796,115,700
17298_700,796,114,700
17297_700,796,112,700
17296_700,796,110,700
17295_700,796,109,700
17294_700,796,108,700
17293_700,796,107,700
17292_700,796,106,700
17290_700,796,101,700
17289_700,796,100,700
