stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,zone_id
de:11000:900073253::1,,Ahrensdorfer Str. (Berlin),Bushalt Marienfelder Allee vor Ahrensdorfer Straße,52.408809,13.359237,0,,0,,5656 Ahrensdorfer Str. (Berlin)
de:11000:900073253::2,,Ahrensdorfer Str. (Berlin),Bushalt Marienfelder Allee vor Ahrensdorfer Straße,52.409158,13.359291,0,,0,,5656 Ahrensdorfer Str. (Berlin)
de:11000:900073254::1,,Baußnernweg (Berlin),Bushalt Marienfelder Allee vor Wippraer Weg,52.405521,13.356591,0,,0,,5656 Baußnernweg (Berlin)
de:11000:900073254::2,,Baußnernweg (Berlin),Bushalt Marienfelder Allee vor Baußnernweg,52.405422,13.3562,0,,0,,5656 Baußnernweg (Berlin)
de:11000:900073203::2,,Klausenburger Pfad (Berlin),Bushalt Marienfelder Allee ht. Tilkeroder Weg,52.402537,13.35343,0,,0,,5656 Klausenburger Pfad (Berlin)
de:11000:900073203::1,,Klausenburger Pfad (Berlin),Bushalt Marienfelder Allee vor Klausenburger Pfad,52.402828,13.353398,0,,0,,5656 Klausenburger Pfad (Berlin)
de:11000:900072102::1,,Gutspark Marienfelde (Berlin),Bushalt Nahmitzer Damm ht. Motzener Straße,52.409227,13.376924,0,,0,,5656 Gutspark Marienfelde (Berlin)
de:11000:900072102::2,,Gutspark Marienfelde (Berlin),Bushalt Nahmitzer Damm ht. Motzener Straße,52.409185,13.375316,0,,0,,5656 Gutspark Marienfelde (Berlin)
de:12054:900230032::4,,"Potsdam, Johannes-Kepler-Platz",Bushalt Neuendorfer Straße hinter Galileistraße,52.375956,13.128359,0,,1,,"5851 Potsdam, Johannes-Kepler-Platz"
de:11000:900074254::2,,Rennsteig (Berlin),Bushalt Groß-Ziethener Straße vor Rennsteig,52.394777,13.419133,0,,0,,5656 Rennsteig (Berlin)
de:12061:900260509::1,,"Schönefeld (bei Berlin), Seeweg",Bushalt Am Seegraben hinter Schützenstraße,52.39478,13.533665,0,,0,,"5957 Schönefeld (bei Berlin), Seeweg"
de:11000:900185001::7,,"Berlin, Alt-Schmöckwitz",Bushalt Wernsdorfer Straße ht. Adlergestell,52.375876,13.649679,0,,0,,"5656 Berlin, Alt-Schmöckwitz"
de:12061:900260935::1,,"Schönefeld (bei Berlin), Dorf",,52.3869,13.504541,0,,0,,"5957 Schönefeld (bei Berlin), Dorf"
de:12061:900260194::1,,"Großziethen, Kirche",Bushalt Alt Großziethen Richtung Nordosten,52.396282,13.447728,0,,0,,"5856 Großziethen, Kirche"
de:12061:900260195::1,,"Großziethen, Kita",Bushalt Alt Großziethen Richtung Nordosten,52.398424,13.451813,0,,0,,"5856 Großziethen, Kita"
de:12061:900260211::1,,"Großziethen, An den Eichen",Bushalt Alt Großziethen hinter An den Eichen Richtung Nordos,52.400156,13.455351,0,,0,,"5856 Großziethen, An den Eichen"
de:12061:900260725::1,,"Großziethen, Rosa-Luxemburg-Weg",Bushalt Rudower Allee hinter Deponiestraße,52.405841,13.465583,0,,0,,"5856 Großziethen, Rosa-Luxemburg-Weg"
de:11000:900083205::1,,Ascherslebener Weg (Berlin),Bushalt Groß-Ziethener Chaussee hinter Geflügelst,52.410559,13.479872,0,,0,,5656 Ascherslebener Weg (Berlin)
de:11000:900083264::1,,Pirnaer Str. (Berlin),Bushalt Groß-Ziethener Chaussee ht. Pirnaer Straße,52.41197,13.484116,0,,0,,5656 Pirnaer Str. (Berlin)
de:11000:900083265::1,,Rudower Fließ (Berlin),Bushalt Groß-Ziethener Ch. hinter Rhodeländerweg,52.413515,13.491197,0,,0,,5656 Rudower Fließ (Berlin)
de:11000:900083201::18,,U Rudow (Berlin),Bushalt Groß-Zieth. Ch. ht. Neuköllner Str. Pos. 8,52.415575,13.495969,0,,0,,5656 U Rudow (Berlin)
de:11000:900083201::19,,U Rudow (Berlin),Bushalt Groß-Zieth. Ch. vor Neuköllner Str. Pos. 7,52.415534,13.496265,0,,0,,5656 U Rudow (Berlin)
de:11000:900083265::2,,Rudower Fließ (Berlin),Bushalt Groß-Ziethener Chaussee vor Zittauer Str.,52.413383,13.489074,0,,0,,5656 Rudower Fließ (Berlin)
de:11000:900083264::2,,Pirnaer Str. (Berlin),Bushalt Groß-Ziethener Chaussee ht. Pirnaer Straße,52.41183,13.483416,0,,0,,5656 Pirnaer Str. (Berlin)
de:11000:900083205::2,,Ascherslebener Weg (Berlin),Bushalt Groß-Ziethener Chaussee vor Ascherslebener,52.410673,13.479985,0,,0,,5656 Ascherslebener Weg (Berlin)
de:12061:900260725::2,,"Großziethen, Rosa-Luxemburg-Weg",Bushalt Rudower Allee vor Rosa-Luxemburg-Weg,52.406409,13.466615,0,,0,,"5856 Großziethen, Rosa-Luxemburg-Weg"
de:12061:900260211::2,,"Großziethen, An den Eichen",Bushalt Alt Großziethen hinter An den Eichen Richtung Südwes,52.399868,13.454226,0,,0,,"5856 Großziethen, An den Eichen"
de:12061:900260195::2,,"Großziethen, Kita",Bushalt Alt Großziethen Richtung Südwesten,52.398745,13.452062,0,,0,,"5856 Großziethen, Kita"
de:12061:900260935::2,,"Schönefeld (bei Berlin), Dorf",,52.386985,13.504983,0,,0,,"5957 Schönefeld (bei Berlin), Dorf"
de:12061:900260213::1,,"Großziethen, Kreisverkehr",Bushalt Karl-Marx-Straße vor Lichtenrader Chaussee,52.394444,13.442648,0,,0,,"5856 Großziethen, Kreisverkehr"
de:12061:900260201::1,,"Großziethen, Friedrich-Ebert-Str.",Bushalt Ernst-Thälmann-Straße hinter Lessingring,52.412794,13.446995,0,,0,,"5856 Großziethen, Friedrich-Ebert-Str."
de:12061:900260199::1,,"Großziethen, Uhlandstr.",Bushalt Ernst-Thälmann-Straße hinter Uhlandstraße,52.412032,13.443175,0,,0,,"5856 Großziethen, Uhlandstr."
de:12061:900260202::2,,"Großziethen, Thälmannstr.",Bushalt Karl-Marx-Straße hinter Ernst-Thälmann-Straße,52.410355,13.43974,0,,0,,"5856 Großziethen, Thälmannstr."
de:12061:900260204::2,,"Großziethen, Am Lindengarten",Bushalt L 75 hinter Karl-Marx-Straße,52.396732,13.442227,0,,0,,"5856 Großziethen, Am Lindengarten"
de:12061:900260204::1,,"Großziethen, Am Lindengarten",Bushalt L 75 vor Karl-Marx-Straße,52.397179,13.442264,0,,0,,"5856 Großziethen, Am Lindengarten"
de:12061:900260202::1,,"Großziethen, Thälmannstr.",Bushalt Karl-Marx-Straße vor Ernst-Thälmann-Straße,52.41083,13.439748,0,,0,,"5856 Großziethen, Thälmannstr."
de:12061:900260199::2,,"Großziethen, Uhlandstr.",Bushalt Ernst-Thälmann-Straße vor Uhlandstraße,52.412065,13.443126,0,,0,,"5856 Großziethen, Uhlandstr."
de:12061:900260201::2,,"Großziethen, Friedrich-Ebert-Str.",Bushalt Ernst-Thälmann-Straße hinter Friedrich-Ebert-Straße,52.412849,13.44701,0,,0,,"5856 Großziethen, Friedrich-Ebert-Str."
de:11000:900081256::1,,Mollnerweg (Berlin),Bushalt Buckower Damm ht. Mollnerweg,52.419627,13.438299,0,,0,,5656 Mollnerweg (Berlin)
de:11000:900081257::1,,An den Achterhöfen (Berlin),Bushalt Buckower Damm vor Alt Buckow,52.422346,13.437692,0,,0,,5656 An den Achterhöfen (Berlin)
de:11000:900080651::1,,Steinträgerweg (Berlin),Bushalt Johannisthaler Chaussee vor Wildmeisterdamm,52.424397,13.44072,0,,0,,5656 Steinträgerweg (Berlin)
de:11000:900080602::1,,Tischlerzeile (Berlin),Bushalt Johannisthaler Chaussee hinter Kölner Damm,52.427203,13.447832,0,,0,,5656 Tischlerzeile (Berlin)
de:11000:900082202::3,,U Johannisthaler Chaussee (Berlin),Bushalt Johannisthaler Chaussee ht. Kirschnerweg,52.429342,13.453407,0,,0,,5656 U Johannisthaler Chaussee (Berlin)
de:11000:900082202::4,,U Johannisthaler Chaussee (Berlin),Bushalt Johannisthaler Ch. ht. Höltermannsteig,52.429484,13.453134,0,,0,,5656 U Johannisthaler Chaussee (Berlin)
de:11000:900080602::2,,Tischlerzeile (Berlin),Bushalt Johannisthaler Chaussee vor Tischlerzeile,52.427225,13.447245,0,,0,,5656 Tischlerzeile (Berlin)
de:11000:900080651::2,,Steinträgerweg (Berlin),Bushalt Johannisthaler Chaussee v Steinträgerweg,52.424404,13.439982,0,,0,,5656 Steinträgerweg (Berlin)
de:11000:900081257::2,,An den Achterhöfen (Berlin),Bushalt Buckower Damm hinter An den Achterhöfen,52.421528,13.437892,0,,0,,5656 An den Achterhöfen (Berlin)
de:11000:900081256::2,,Mollnerweg (Berlin),Bushalt Buckower Damm ht. ggü Mollnerweg,52.419102,13.438183,0,,0,,5656 Mollnerweg (Berlin)
de:11000:900074254::1,,Rennsteig (Berlin),Bushalt Nahariyastraße hinter Groß-Ziethener Str.,52.394223,13.419585,0,,0,,5656 Rennsteig (Berlin)
de:12061:900260508::1,,"Schönefeld (bei Berlin), Gartenstr.",Bushalt Am Seegraben vor Gartenstraße Richtung Westen,52.393436,13.527031,0,,0,,"5957 Schönefeld (bei Berlin), Gartenstr."
de:12061:900260200::1,,"Großziethen, Rudolf-Breitscheid-Str.",Bushalt Rudolf-Breitscheid-Straße hinter Ernst-Thälmann-Str.,52.413501,13.452448,0,,0,,"5856 Großziethen, Rudolf-Breitscheid-Str."
de:11000:900186001::3,,S Grünau (Berlin),Bushalt Adlergestell ht. Richterstraße Pos. 11,52.413398,13.574074,0,,0,,5656 S Grünau (Berlin)
de:11000:900195510::1,,S Altglienicke (Berlin),Bushalt Ewaldstraße vor Germanenstraße,52.408183,13.558478,0,,0,,5656 S Altglienicke (Berlin)
de:11000:900053301::2,,S Wannsee Bhf (Berlin),Bushalt Kronprinzessinnenweg gegenüber dem G.-Hartmann-Platz,52.421563,13.177987,0,,0,,5656 S Wannsee Bhf (Berlin)
de:11000:900007102::5,,S+U Gesundbrunnen Bhf (Berlin),Bushalt Hanne-Sobek-Platz vor dem Bahnhof,52.549019,13.388385,0,,0,,5555 S+U Gesundbrunnen Bhf (Berlin)
de:11000:900007104::2,,S Nordbahnhof (Berlin),Tram u. Bussteig Invalidenstraße ht. Gartenstraße,52.531683,13.388813,0,,0,,5555 S Nordbahnhof (Berlin)
de:11000:900008101::1,,S Humboldthain (Berlin),Bushalt Hochstr. vor Wiesenstr.,52.54457,13.378451,0,,0,,5555 S Humboldthain (Berlin)
de:12061:900260516::2,,"Schönefeld (bei Berlin), Wehrmathen",Bushalt Altglienicker Chaussee vor Wehrmathen Richtung Nord,52.398934,13.520231,0,,0,,"5957 Schönefeld (bei Berlin), Wehrmathen"
de:11000:900058102::2,,S Priesterweg (Berlin),Bushalt Prellerweg vor Priesterweg,52.458675,13.355021,0,,0,,5656 S Priesterweg (Berlin)
de:11000:900110001::3,,S+U Schönhauser Allee (Berlin),Tram- und Bushalt Schönhauser Allee vor Dänenstr.,52.549545,13.413923,0,,0,,5555 S+U Schönhauser Allee (Berlin)
de:11000:900063452::1,,S Südende (Berlin),Bushalt Steglitzer Damm ht. Buhrowstraße,52.448979,13.353909,0,,0,,5656 S Südende (Berlin)
de:11000:900054104::2,,S Schöneberg (Berlin),Bushalt Dominicusstraße vor Ebersstraße,52.480061,13.35264,0,,0,,5555 S Schöneberg (Berlin)
